"goal","dimension","region_id","score"
"ICO","future",6,51.03
"ICO","future",7,51.03
"ICO","future",8,51.01
"ICO","future",9,50.95
"ICO","future",10,51.03
"ICO","future",11,51.04
"ICO","future",12,51.03
"ICO","pressures",1,38.48
"ICO","pressures",2,38.43
"ICO","pressures",3,38.47
"ICO","pressures",4,38.45
"ICO","pressures",5,38.47
"ICO","pressures",6,38.48
"ICO","pressures",7,38.48
"ICO","pressures",8,38.63
"ICO","pressures",9,38.94
"ICO","pressures",10,38.52
"ICO","pressures",11,38.43
"ICO","pressures",12,38.48
"ICO","resilience",1,63.53
"ICO","resilience",2,63.53
"ICO","resilience",3,63.53
"ICO","resilience",4,63.53
"ICO","resilience",5,63.53
"ICO","resilience",6,63.53
"ICO","resilience",7,63.53
"ICO","resilience",8,63.53
"ICO","resilience",9,63.53
"ICO","resilience",10,63.53
"ICO","resilience",11,63.53
"ICO","resilience",12,63.53
"ICO","score",0,53.98
"ICO","score",1,53.98
"ICO","score",2,53.98
"ICO","score",3,53.98
"ICO","score",4,53.98
"ICO","score",5,53.98
"ICO","score",6,53.98
"ICO","score",7,53.98
"ICO","score",8,53.96
"ICO","score",9,53.94
"ICO","score",10,53.98
"ICO","score",11,53.98
"ICO","score",12,53.98
"ICO","status",0,56.92
"ICO","status",1,56.92
"ICO","status",2,56.92
"ICO","status",3,56.92
"ICO","status",4,56.92
"ICO","status",5,56.92
"ICO","status",6,56.92
"ICO","status",7,56.92
"ICO","status",8,56.92
"ICO","status",9,56.92
"ICO","status",10,56.92
"ICO","status",11,56.92
"ICO","status",12,56.92
"ICO","trend",1,-0.28
"ICO","trend",2,-0.28
"ICO","trend",3,-0.28
"ICO","trend",4,-0.28
"ICO","trend",5,-0.28
"ICO","trend",6,-0.28
"ICO","trend",7,-0.28
"ICO","trend",8,-0.28
"ICO","trend",9,-0.28
"ICO","trend",10,-0.28
"ICO","trend",11,-0.28
"ICO","trend",12,-0.28
"Index","future",0,58.4
"Index","future",1,58.19
"Index","future",2,59.96
"Index","future",3,58.66
"Index","future",4,57.23
"Index","future",5,58.57
"Index","future",6,59.14
"Index","future",7,59.19
"Index","future",8,58.73
"Index","future",9,59.55
"Index","future",10,58.86
"Index","future",11,59.76
"Index","future",12,57.25
"Index","score",0,60.7
"Index","score",1,60.51
"Index","score",2,62.28
"Index","score",3,60.91
"Index","score",4,59.62
"Index","score",5,60.82
"Index","score",6,61.32
"Index","score",7,61.37
"Index","score",8,60.93
"Index","score",9,61.7
"Index","score",10,61.06
"Index","score",11,62.09
"Index","score",12,59.66
"LE","future",0,98.16
"LE","future",1,98.16
"LE","future",2,98.16
"LE","future",3,98.16
"LE","future",4,98.16
"LE","future",5,98.16
"LE","future",6,98.16
"LE","future",7,98.16
"LE","future",8,98.16
"LE","future",9,98.15
"LE","future",10,98.16
"LE","future",11,98.16
"LE","future",12,98.16
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",3,
"LE","pressures",4,
"LE","pressures",5,
"LE","pressures",6,
"LE","pressures",7,
"LE","pressures",8,
"LE","pressures",9,
"LE","pressures",10,
"LE","pressures",11,
"LE","pressures",12,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",3,
"LE","resilience",4,
"LE","resilience",5,
"LE","resilience",6,
"LE","resilience",7,
"LE","resilience",8,
"LE","resilience",9,
"LE","resilience",10,
"LE","resilience",11,
"LE","resilience",12,
"LE","score",0,98.87
"LE","score",1,98.87
"LE","score",2,98.87
"LE","score",3,98.87
"LE","score",4,98.87
"LE","score",5,98.87
"LE","score",6,98.87
"LE","score",7,98.87
"LE","score",8,98.87
"LE","score",9,98.87
"LE","score",10,98.87
"LE","score",11,98.87
"LE","score",12,98.87
"LE","status",0,99.59
"LE","status",1,99.59
"LE","status",2,99.59
"LE","status",3,99.59
"LE","status",4,99.59
"LE","status",5,99.59
"LE","status",6,99.59
"LE","status",7,99.59
"LE","status",8,99.59
"LE","status",9,99.59
"LE","status",10,99.59
"LE","status",11,99.59
"LE","status",12,99.59
"LE","trend",1,0.49
"LE","trend",2,0.49
"LE","trend",3,0.49
"LE","trend",4,0.49
"LE","trend",5,0.49
"LE","trend",6,0.49
"LE","trend",7,0.49
"LE","trend",8,0.49
"LE","trend",9,0.49
"LE","trend",10,0.49
"LE","trend",11,0.49
"LE","trend",12,0.49
"LIV","future",0,96.31
"LIV","future",1,96.31
"LIV","future",2,96.31
"LIV","future",3,96.31
"LIV","future",4,96.31
"LIV","future",5,96.31
"LIV","future",6,96.31
"LIV","future",7,96.31
"LIV","future",8,96.31
"LIV","future",9,96.31
"LIV","future",10,96.31
"LIV","future",11,96.31
"LIV","future",12,96.31
"LIV","pressures",1,37.27
"LIV","pressures",2,37.27
"LIV","pressures",3,37.27
"LIV","pressures",4,37.27
"LIV","pressures",5,37.27
"LIV","pressures",6,37.27
"LIV","pressures",7,37.27
"LIV","pressures",8,37.28
"LIV","pressures",9,37.29
"LIV","pressures",10,37.28
"LIV","pressures",11,37.27
"LIV","pressures",12,37.27
"LIV","resilience",1,34.54
"LIV","resilience",2,34.54
"LIV","resilience",3,34.54
"LIV","resilience",4,34.54
"LIV","resilience",5,34.54
"LIV","resilience",6,34.54
"LIV","resilience",7,34.54
"LIV","resilience",8,34.54
"LIV","resilience",9,34.54
"LIV","resilience",10,34.54
"LIV","resilience",11,34.54
"LIV","resilience",12,34.54
"LIV","score",0,97.75
"LIV","score",1,97.75
"LIV","score",2,97.75
